./run.py -v -cmd ../zstd/programs/zstd -nruns 5 -bench 2 -levels 1,8,16,19 > base-mt.csv

l5.tar, `--long=27 -1`, 22.19%, 2.633s
l5.tar, `--long=30 -1`, 22.18%, 3.169s
l5.tar, `--long=27 -8`, 17.17%, 2.913s
l5.tar, `--long=30 -8`, 17.16%, 3.173s
l5.tar, `--long=27 -16`, 14.96%, 11.919s
l5.tar, `--long=30 -16`, 14.95%, 11.231s
l5.tar, `--long=27 -19`, 14.23%, 44.380s
l5.tar, `--long=30 -19`, 14.22%, 45.965s
l1m.tar, `--long=27 -1`, 18.17%, 9.771s
l1m.tar, `--long=30 -1`, 9.29%, 8.799s
l1m.tar, `--long=27 -8`, 14.22%, 10.030s
l1m.tar, `--long=30 -8`, 7.29%, 8.843s
l1m.tar, `--long=27 -16`, 12.39%, 31.909s
l1m.tar, `--long=30 -16`, 6.36%, 26.152s
l1m.tar, `--long=27 -19`, 11.74%, 91.756s
l1m.tar, `--long=30 -19`, 6.01%, 68.122s
l1y.tar, `--long=27 -1`, 18.32%, 8.889s
l1y.tar, `--long=30 -1`, 10.41%, 9.175s
l1y.tar, `--long=27 -8`, 14.33%, 9.706s
l1y.tar, `--long=30 -8`, 8.18%, 9.292s
l1y.tar, `--long=27 -16`, 12.49%, 30.489s
l1y.tar, `--long=30 -16`, 7.11%, 27.428s
l1y.tar, `--long=27 -19`, 11.83%, 92.007s
l1y.tar, `--long=30 -19`, 6.73%, 76.813s
hhvm-rt.tar, `--long=27 -1`, 27.07%, 32.675s
hhvm-rt.tar, `--long=30 -1`, 26.99%, 36.260s
hhvm-rt.tar, `--long=27 -8`, 22.54%, 33.987s
hhvm-rt.tar, `--long=30 -8`, 22.49%, 37.887s
hhvm-rt.tar, `--long=27 -16`, 20.01%, 91.365s
hhvm-rt.tar, `--long=30 -16`, 19.99%, 95.160s
hhvm-rt.tar, `--long=27 -19`, 17.86%, 195.263s
hhvm-rt.tar, `--long=30 -19`, 17.84%, 191.238s
