l5.tar, `--long=27 -1`, 22.19%, 2.433s
l5.tar, `--long=30 -1`, 22.18%, 3.086s
l5.tar, `--long=27 -8`, 17.17%, 2.611s
l5.tar, `--long=30 -8`, 17.16%, 3.234s
l5.tar, `--long=27 -16`, 14.96%, 11.805s
l5.tar, `--long=30 -16`, 14.95%, 11.651s
l5.tar, `--long=27 -19`, 14.23%, 45.439s
l5.tar, `--long=30 -19`, 14.22%, 45.392s
l1m.tar, `--long=27 -1`, 18.17%, 9.555s
l1m.tar, `--long=30 -1`, 9.29%, 11.369s
l1m.tar, `--long=27 -8`, 14.22%, 9.897s
l1m.tar, `--long=30 -8`, 7.29%, 11.480s
l1m.tar, `--long=27 -16`, 12.39%, 30.455s
l1m.tar, `--long=30 -16`, 6.36%, 26.407s
l1m.tar, `--long=27 -19`, 11.74%, 92.560s
l1m.tar, `--long=30 -19`, 6.01%, 68.130s
l1y.tar, `--long=27 -1`, 18.32%, 8.776s
l1y.tar, `--long=30 -1`, 10.41%, 11.156s
l1y.tar, `--long=27 -8`, 14.33%, 9.370s
l1y.tar, `--long=30 -8`, 8.18%, 11.076s
l1y.tar, `--long=27 -16`, 12.49%, 31.066s
l1y.tar, `--long=30 -16`, 7.11%, 28.568s
l1y.tar, `--long=27 -19`, 11.83%, 91.613s
l1y.tar, `--long=30 -19`, 6.73%, 75.526s
hhvm-rt.tar, `--long=27 -1`, 27.07%, 30.951s
hhvm-rt.tar, `--long=30 -1`, 26.99%, 36.220s
hhvm-rt.tar, `--long=27 -8`, 22.54%, 33.412s
hhvm-rt.tar, `--long=30 -8`, 22.49%, 38.209s
hhvm-rt.tar, `--long=27 -16`, 20.01%, 93.692s
hhvm-rt.tar, `--long=30 -16`, 19.99%, 97.200s
hhvm-rt.tar, `--long=27 -19`, 17.86%, 197.076s
hhvm-rt.tar, `--long=30 -19`, 17.84%, 196.848s
